MEET,RC_DATE,RC_NO,RC_DIST,RANK,WEATHER,TR_CON,TR_WC,ORD,CHUL_NO,HR_NAME,HR_NO,NAME,PRD_NAME,AGE,SEX,horse_weight,weight_gain,RC_TIME,ORD1_CNT_T,ORD2_CNT_T,RC_CNT_T,ORD1_CNT_Y,ORD2_CNT_Y,RC_CNT_Y,WG_BUDAM,JK_NAME,JK_NO,JK_AGE,JK_CAREER,JK_ORD1_CNT_T,JK_ORD2_CNT_T,JK_RC_CNT_T,JK_ORD1_CNT_Y,JK_ORD2_CNT_Y,JK_RC_CNT_Y,TR_NAME,TR_NO,TR_AGE,TR_CAREER,TR_ORD1_CNT_T,TR_ORD2_CNT_T,TR_RC_CNT_T,TR_ORD1_CNT_Y,TR_ORD2_CNT_Y,TR_RC_CNT_Y,HR_ORD1_CNT_T,HR_ORD2_CNT_T,HR_RC_CNT_T,SJ_S1F_ORD,SJ_1C_ORD,SJ_2C_ORD,SJ_3C_ORD,SJ_G3F_ORD,SJ_4C_ORD,SJ_G1F_ORD,SE_S1F_ACC_TIME,SE_1C_ACC_TIME,SE_2C_ACC_TIME,SE_3C_ACC_TIME,SE_G3F_ACC_TIME,SE_4C_ACC_TIME,SE_G1F_ACC_TIME,JE_S1F_TIME,JE_1C_TIME,JE_2C_TIME,JE_3C_TIME,JE_G3F_TIME,JE_4C_TIME,JE_G1F_TIME,BU_S1F_ORD,BU_G8F_ORD,BU_G6F_ORD,BU_G4F_ORD,BU_G3F_ORD,BU_G2F_ORD,BU_G1F_ORD,BU_S1F_TIME,BU_10-8F_TIME,BU_8-6F_TIME,BU_6-4F_TIME,BU_4-2F_TIME,BU_2F-G_TIME,BU_3F-G_TIME,BU_1F-G_TIME,BU_S1F_ACC_TIME,BU_G8F_ACC_TIME,BU_G6F_ACC_TIME,BU_G4F_ACC_TIME,BU_G3F_ACC_TIME,BU_G2F_ACC_TIME,BU_G1F_ACC_TIME
제주,20230623,4,900,제5등급,맑음,양호,8,1,1,초고수,3102945,한국,국산,3,수,291.0,3.0,76.0,2,1,9,2,1,8,57.5,박성광,3089,42,6,310,252,2043,60,44,352,이태용,2034.0,,12.0,748.0,598.0,4705.0,54.0,37.0,343.0,82.0,49.0,420.0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,17.1,0.0,0.0,25.0,51.0,41.1,17.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,5,1000,제5등급,맑음,양호,8,1,4,탐라의힘,3102362,한국,국산,4,암,270.0,11.0,84.2,4,1,20,3,1,15,56.0,정명일,3044,48,27,704,668,6670,18,20,274,강태종,2036.0,,4.0,155.0,138.0,1268.0,42.0,34.0,355.0,99.0,71.0,643.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,16.8,0.0,0.0,32.7,51.5,48.2,19.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,6,1110,제4등급,맑음,양호,6,1,9,대천여왕,3102632,한국,국산,3,암,280.0,-2.0,95.8,3,1,5,3,1,5,53.5,정명일,3044,48,27,704,668,6670,18,20,274,강태종,2036.0,,4.0,155.0,138.0,1268.0,42.0,34.0,355.0,99.0,71.0,643.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,18.1,0.0,0.0,43.7,52.1,61.3,17.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,7,1110,제4등급,맑음,양호,6,1,7,성공여왕,3019035,한국,국산,4,암,271.0,1.0,95.3,3,4,15,1,1,10,59.0,전현준,3070,35,18,959,810,6130,69,54,434,강영진,2033.0,,13.0,670.0,667.0,5448.0,63.0,49.0,445.0,123.0,113.0,943.0,6,0,0,4,0,4,1,0,0,0,0,0,0,0,18.5,0.0,0.0,43.5,51.8,60.6,17.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,8,1110,제3등급,맑음,양호,6,1,6,백두정복,3102265,한국,국산,3,수,296.0,-4.0,94.8,5,1,12,5,1,12,57.0,양민재,3096,28,3,12,14,148,11,13,140,이준호,2029.0,,17.0,666.0,702.0,6512.0,54.0,48.0,432.0,131.0,92.0,812.0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,17.9,0.0,0.0,42.1,52.7,59.2,18.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230623,9,1200,제2등급,맑음,양호,6,1,5,꿈드림,3100560,한국,국산,3,암,283.0,-6.0,104.8,6,2,8,6,2,8,55.0,문현진,3080,35,10,446,430,3614,59,52,456,고영덕,2026.0,,23.0,1330.0,1245.0,10543.0,54.0,44.0,408.0,98.0,77.0,649.0,5,0,0,5,0,6,4,0,0,0,0,0,0,0,17.7,0.0,0.0,55.6,49.2,73.7,15.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,1,800,제6등급,맑음,건조,4,1,3,웅비최강,3103937,한국,국산,2,수,262.0,2.0,64.8,1,0,1,1,0,1,54.0,강수한,3077,32,12,418,373,3086,52,58,419,신경호,2018.0,,27.0,1021.0,1102.0,10781.0,41.0,50.0,350.0,63.0,52.0,462.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,17.0,0.0,0.0,17.0,47.8,31.8,16.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,2,900,제5등급,맑음,건조,4,1,5,장타최강,3102943,한국,국산,3,수,279.0,1.0,73.1,3,2,5,3,2,5,58.0,김준호,3081,30,9,411,337,3025,64,50,413,김영래,2019.0,,27.0,1547.0,1235.0,10161.0,48.0,32.0,321.0,92.0,48.0,396.0,2,0,0,2,0,3,1,0,0,0,0,0,0,0,16.5,0.0,0.0,24.1,49.0,39.5,17.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,3,1000,제5등급,맑음,건조,4,1,8,송악공주,3018764,한국,국산,5,암,244.0,2.0,85.4,1,2,32,1,0,14,51.0,이동준,3086,30,7,27,30,503,3,8,94,신경호,2018.0,,27.0,1021.0,1102.0,10781.0,41.0,50.0,350.0,63.0,52.0,462.0,7,0,0,7,0,8,5,0,0,0,0,0,0,0,18.2,0.0,0.0,35.6,49.8,52.2,17.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,4,1000,제4등급,맑음,건조,4,1,8,광해왕자,3018157,한국,국산,6,거,319.0,-9.0,80.5,5,3,25,2,0,13,53.0,김준호,3081,30,9,411,337,3025,64,50,413,김영래,2019.0,,27.0,1547.0,1235.0,10161.0,48.0,32.0,321.0,92.0,48.0,396.0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,16.4,0.0,0.0,31.5,49.0,47.0,17.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,5,1110,제4등급,맑음,건조,4,1,5,무림영웅,3102595,한국,국산,3,거,288.0,-6.0,94.6,4,2,8,4,2,8,52.0,전현준,3070,35,18,959,810,6130,69,54,434,신경호,2018.0,,27.0,1021.0,1102.0,10781.0,41.0,50.0,350.0,63.0,52.0,462.0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,18.0,0.0,0.0,45.1,49.5,61.9,16.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,6,1110,제3등급,맑음,건조,4,1,2,동백동산,3016978,한국,국산,8,거,289.0,-2.0,91.7,8,5,90,1,0,15,54.5,박성광,3089,42,6,310,252,2043,60,44,352,한상배,2023.0,,27.0,965.0,1021.0,9087.0,4.0,21.0,145.0,54.0,63.0,658.0,3,0,0,3,0,3,2,0,0,0,0,0,0,0,18.0,0.0,0.0,42.2,49.5,58.4,17.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,20230617,7,1200,제1등급,맑음,건조,4,1,1,제주꼬마,3017121,한국,국산,8,거,295.0,-9.0,97.8,13,5,74,2,0,10,52.0,원유일,3075,36,13,444,469,4730,26,30,402,김길홍,2038.0,,5.0,216.0,211.0,1841.0,59.0,47.0,432.0,84.0,70.0,617.0,5,0,0,5,0,5,3,0,0,0,0,0,0,0,17.4,0.0,0.0,49.7,48.1,65.6,16.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
